CodigoOriginal;DescOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;PrensadoOriginal;Dimensao;Nome Mae;Acabamento Superficie;Unidade Pai;Polo;Item Fundo;PrensadoFundo;SituacaoFundo;UnidadePaiFundo;PoloFundo;ClonesLista;PrensadoRevisado;Validado;UnidadePaiNorm;DimensaoNorm;AcabamentoNorm
1402943;SELAFACIL MARFIM CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MARFIM CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404164;SELAFACIL MARFIM CX 12UN            P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MARFIM CX 12UN            P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
8014071;SELAFACIL MARROM CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MARROM CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404911;SELAFACIL MS BEGE CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS BEGE CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404920;SELAFACIL MS BRANCO CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS BRANCO CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404938;SELAFACIL MS CAFE CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS CAFE CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404946;SELAFACIL MS CINZA CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS CINZA CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404890;SELAFACIL MS INCOLOR CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS INCOLOR CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404954;SELAFACIL MS MARFIM CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS MARFIM CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404962;SELAFACIL MS PESSEGO CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS PESSEGO CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404970;SELAFACIL MS PRETO CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS PRETO CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404989;SELAFACIL MS SALMON CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS SALMON CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404997;SELAFACIL MS VERDE CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS VERDE CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1402927;SELAFACIL PESSEGO CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PESSEGO CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
